price,type,address,url,postcode,number_bedrooms,search_date
4820.0,"
            2 bedroom apartment        ","
        ",/properties/119943029#/?channel=RES_LET,,2,11/09/2022
1690.0,"
            1 bedroom flat        ","
            ",/properties/126954944#/?channel=RES_LET,,1,11/09/2022
1950.0,"
            1 bedroom flat        ","
            ",/properties/126954941#/?channel=RES_LET,,1,11/09/2022
1285.0,"
            Studio flat        ","
            ",/properties/126954818#/?channel=RES_LET,,0,11/09/2022
1295.0,"
            1 bedroom flat        ","
        ",/properties/126954815#/?channel=RES_LET,,1,11/09/2022
1712.0,"
            1 bedroom flat        ","
            ",/properties/126954806#/?channel=RES_LET,,1,11/09/2022
1800.0,"
            3 bedroom terraced house        ","
            ",/properties/125976410#/?channel=RES_LET,,3,11/09/2022
4750.0,"
            3 bedroom terraced house        ","
            ",/properties/126954749#/?channel=RES_LET,,3,11/09/2022
2400.0,"
            1 bedroom flat        ","
        ",/properties/126954752#/?channel=RES_LET,,1,11/09/2022
2300.0,"
            2 bedroom flat        ","
            ",/properties/126953816#/?channel=RES_LET,,2,11/09/2022
1850.0,"
            1 bedroom end of terrace house        ","
            ",/properties/126953540#/?channel=RES_LET,,1,11/09/2022
2850.0,"
            3 bedroom flat        ","
            ",/properties/126953543#/?channel=RES_LET,,3,11/09/2022
2400.0,"
            2 bedroom flat        ","
        ",/properties/126953546#/?channel=RES_LET,,2,11/09/2022
3200.0,"
            3 bedroom terraced house        ","
            ",/properties/126953444#/?channel=RES_LET,,3,11/09/2022
5000.0,"
            2 bedroom apartment        ","
            ",/properties/124848983#/?channel=RES_LET,,2,11/09/2022
1000.0,"
            2 bedroom maisonette        ","
            ",/properties/126953372#/?channel=RES_LET,,2,11/09/2022
925.0,"
            1 bedroom maisonette        ","
        ",/properties/126953351#/?channel=RES_LET,,1,11/09/2022
2383.0,"
            3 bedroom flat        ","
            ",/properties/126953147#/?channel=RES_LET,,3,11/09/2022
1400.0,"
            1 bedroom flat        ","
            ",/properties/126953144#/?channel=RES_LET,,1,11/09/2022
2492.0,"
            2 bedroom flat        ","
            ",/properties/126953141#/?channel=RES_LET,,2,11/09/2022
1733.0,"
            1 bedroom flat        ","
        ",/properties/126953138#/?channel=RES_LET,,1,11/09/2022
2383.0,"
            3 bedroom flat        ","
            ",/properties/126953135#/?channel=RES_LET,,3,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
